EU35: Aké práva majú občania EÚ v oblasti pohybu osôb?,"Právo opustiť a vstúpiť do štátu, právo na pobyt a trvalý pobyt."
EU36: Aké sú obmedzenia voľného pohybu osôb?,"Na základe verejného zdravia, bezpečnosti alebo verejného poriadku."
EU37: Kto sú pôvodní a sekundárni oprávnení podľa Smernice 2004/38/ES?,"Pôvodní: študenti, zamestnanci, SZČO, dôchodcovia; Sekundárni: rodinní príslušníci."
EU38: Aký je význam prechodných opatrení vo voľnom pohybe?,Umožňujú členským štátom obmedziť pohyb pracovníkov z nových krajín počas max. 7 rokov.
EU39: Čo je voľný pohyb tovaru v EÚ?,"Princíp, že tovar sa môže voľne pohybovať medzi členskými štátmi bez ciel a obmedzení."
EU40: Aké sú hlavné prekážky voľného pohybu tovaru?,"Fiskálne, fyzické a technické prekážky."
EU41: Čo je zásada vzájomného uznávania (PMR)?,"Členské štáty musia akceptovať tovar z iného štátu, ak spĺňa jeho technické a bezpečnostné požiadavky."
EU42: Čo je voľný pohyb služieb v EÚ?,Poskytovateľ môže dočasne poskytovať služby v inom štáte alebo ich tam prijímať.
EU43: Aké obmedzenia existujú pri voľnom pohybe služieb?,"Bezpečnosť, verejný poriadok, ochrana spotrebiteľa, duševného vlastníctva, kultúrneho dedičstva."
EU44: Aký je rozdiel medzi tovarom a službami?,"Tovar je hmotný a vlastníctvo je prenosné, služba je nehmotná a vlastníctvo sa neprenáša."
EU45: Čo znamená voľný pohyb kapitálu?,Zákaz obmedzení pohybu kapitálu medzi členskými štátmi a tretími krajinami.
EU46: Aké výnimky existujú z voľného pohybu kapitálu?,"Obmedzenia voči tretím krajinám, regulácie investícií, služieb a cenných papierov."
EU47: Čo je digitálny jednotný trh?,"Priestor pre elektronický obchod, inovácie a spoluprácu v rámci EÚ za férových a bezpečných podmienok."
EU48: Aký je hlavný cieľ spoločnej poľnohospodárskej politiky (CAP)?,Zvyšovanie príjmov poľnohospodárov a stabilizácia trhu.
EU49: Aký podiel mal CAP na rozpočte EÚ v rokoch 1985 a 2025?,"V roku 1985 to bolo ~70 %, v roku 2025 menej ako 33 %."
"EU50: Koľko ľudí je zamestnaných v poľnohospodárstve, lesníctve a rybárstve v EÚ?","Celkovo približne 17,5 milióna ľudí, teda asi 4 % pracovnej sily EÚ."
EU51: Prečo má CAP veľký symbolický význam?,Pre obnovu poľnohospodárstva po 2. svetovej vojne a ako prvá oblasť s prenesenými právomocami na EÚ.
EU52: Aké sú štyri hlavné ciele CAP?,"Zvýšiť produktivitu, zabezpečiť príjmy, stabilizovať trhy, udržať ceny pre spotrebiteľov."
EU53: Aké sú hlavné nástroje CAP?,"Priame platby, trhové intervencie, obchodné opatrenia ako clá a kvóty."
EU54: Kedy začala fungovať CAP?,"V roku 1962, hoci ju predpokladala už Rímska zmluva z roku 1957."
EU55: Aké sú hlavné problémy CAP?,"Nadprodukcia, poškodenie životného prostredia, nerovnomerné rozdelenie podpory, obchodné spory."
EU56: Aké boli tri hlavné zásady CAP v 60. rokoch?,"Zrušenie vnútorných ciel, spoločné vonkajšie clá, finančná solidarita (EAGGF)."
EU57: Aký bol cieľ MacSharryho reformy z roku 1992?,"Prechod z podpory produktov na podporu výrobcov, zníženie cien a zavedenie environmentálnych opatrení."
EU58: Aké dva piliere CAP boli definované v Agende 2000?,"1. pilier: podpora trhov a príjmov, 2. pilier: rozvoj vidieka."
EU59: Čo znamená „decoupling“ zavedený v roku 2003?,Odstránenie väzby medzi produkciou a výškou podpory.
EU60: Čo je „cross-compliance“ v rámci CAP?,"Podmienka, že farmári musia dodržiavať environmentálne a bezpečnostné štandardy na získanie podpory."
EU61: Koľko % pôdy a obyvateľstva pokrýva rozvoj vidieka v EÚ?,77 % územia a približne 50 % obyvateľov.
EU62: Aký bol cieľ reformy CAP v roku 2013?,"Zabezpečiť potravinovú bezpečnosť, trvalo udržateľný rozvoj a spravodlivé rozdelenie dotácií."
EU63: Čo je program EÚ CERV 2021 – 2027?,"Najväčší európsky fond na ochranu a posilnenie základných práv, právneho štátu, demokracie a rovnosti v EÚ."
EU64: Aké hodnoty EÚ chráni a podporuje program CERV?,"Ľudská dôstojnosť, sloboda, demokracia, rovnosť, právny štát a ľudské práva vrátane práv menšín."
EU65: Proti akým formám diskriminácie bojuje program CERV?,"Proti rasizmu, antisemitizmu, xenofóbii, homofóbii, transfóbii a iným formám netolerancie."
EU66: Ako program CERV podporuje občiansku účasť?,"Podporuje aktívne občianstvo, participáciu na demokratickom živote EÚ a občianske iniciatívy."
EU67: Ako program CERV posilňuje občiansku spoločnosť?,Posilňuje kapacity občianskej spoločnosti a organizácií v členských štátoch.
EU68: Kedy vzniklo občianstvo EÚ a čo priniesla Maastrichtská zmluva?,Vzniklo v roku 1992; zaviedla ho Maastrichtská zmluva a vytvorila priamy právny vzťah medzi EÚ a jej občanmi.
EU69: Kde sú zakotvené práva občanov EÚ?,V Zmluve o fungovaní EÚ (čl. 18) a v Charte základných práv (kapitola V).
EU70: Aké práva majú občania EÚ?,"Voľný pohyb, usadenie, právo na prácu, politickú účasť, petície, konzulárnu ochranu a kontakt s inštitúciami EÚ."
EU71: Čo je konzulárna ochrana občana EÚ?,"Ochrana veľvyslanectvami iných členských štátov, ak vlastná krajina nemá zastúpenie."
EU72: Aké sú požiadavky na voľby do Európskeho parlamentu pre občanov iného členského štátu?,Občan EÚ s trvalým pobytom musí spĺňať rovnaké podmienky ako domáci občania.
EU73: Čo je európska občianska iniciatíva?,"Nástroj na predloženie návrhu legislatívy Komisii, ak ju podporí aspoň 1 milión občanov zo 7 krajín."
EU74: Ako Komisia kontroluje uplatňovanie Charty základných práv?,"Pripomína povinnosti, poskytuje podporu, môže začať konanie o porušení a vydáva výročné správy."
EU75: Za akých podmienok možno stratiť občianstvo EÚ?,"Dobrovoľne – získaním iného občianstva; nedobrovoľne – napr. pri podvode, zrade, službe cudziemu štátu."
PEU76: Môže byť občianstvo EÚ predané?,"Nie; EÚ nemá právomoci v udeľovaní občianstva, ale rozhodnutia členských štátov majú dopad na EÚ občianstvo."
EU77: Aké sú známe prípady Súdneho dvora týkajúce sa občianstva EÚ?,Prípad Zhu a Chen a prípad Rottman – súd rozšíril ochranu práv občanov EÚ.
EU78: Ktoré krajiny sa zúčastnili 1. rozšírenia EÚ?,"Británia, Dánsko, Írsko (1973)."
EU79: Čo sú Kodanské kritériá?,"Politické, ekonomické a administratívne podmienky pre vstup do EÚ."
EU80: Aké sú politické kritériá členstva v EÚ?,"Stabilné demokratické inštitúcie, právny štát, ľudské práva, ochrana menšín."
EU81: Čo znamená absorpčná kapacita EÚ?,Schopnosť EÚ prijať a integrovať nových členov.
EU82: Koľko kapitol má acquis communautaire?,"35 kapitol, každá pokrýva konkrétnu oblasť politiky."
EU83: Čo je nástroj IPA III?,"Finančná pomoc EÚ pre kandidátske krajiny (2021–2027), založená na výkonnosti."
EU84: Aké sú tematické oblasti IPA III?,"Právny štát, správa vecí verejných, zelená agenda, konkurencieschopnosť, spolupráca."
EU85: Kto schvaľuje vstup krajiny do EÚ?,"Všetky členské štáty musia súhlasiť, proces riadi Rada pre všeobecné záležitosti."
EU86: Prečo je Turecko dôležité pre EÚ?,"Geopolitický význam, partnerstvo v oblasti migrácie, bezpečnosti a obchodu."
EU87: Prečo sú rokovania s Tureckom pozastavené?,Pre porušovanie ľudských práv a odklon od demokratických princípov.
EU88: Koľko kapitol otvorilo Turecko?,"16, z toho 1 predbežne uzavretá."
EU89: Čo je SAP?,"Stabilizačný a asociačný proces pre západný Balkán, cieľom je vstup do EÚ."
EU90: Ktoré krajiny patria do SAP?,"Albánsko, Bosna a Hercegovina, Kosovo*, Čierna Hora, S. Makedónsko, Srbsko."
EU91: Aké sú ciele SAP?,"Politická stabilizácia, trhové hospodárstvo, regionálna spolupráca, zosúladenie s acquis."
EU92: Aké nástroje využíva SAP?,"Stabilizačné dohody, IPA, politický dialóg, výročné správy."
EU93: Čo je susedská politika EÚ (ENP)?,Politika stabilizácie a spolupráce s krajinami susediacimi s EÚ.
EU94: Aké regióny pokrýva ENP?,Východné partnerstvo a južné partnerstvo.
EU95: Aké sú hlavné nástroje ENP?,"Asociačné dohody, akčné plány, regionálne programy, mobilitné partnerstvá."
EU96: Aký je hlavný finančný nástroj ENP?,NDICI – Global Europe (2021–2027).
EU97: Aký je rozdiel medzi rozširovaním a ENP?,"Rozširovanie vedie k členstvu, ENP nie; rozdiel v tlaku na reformy a vízii."
EU98: Kedy bola ustanovená SZBP a aké sú jej ciele?,"SZBP bola ustanovená Maastrichtskou zmluvou (1992); jej cieľom je zabezpečiť jednotnosť, konzistentnosť a efektívnosť vonkajšej činnosti EÚ."
EU99: Kto je hlavným rozhodovacím orgánom SZBP?,Európska rada – určuje zásady a všeobecné usmernenia zahraničnej politiky EÚ.
EU100: Akú úlohu zohráva Rada EÚ v SZBP?,"Rada EÚ funguje ako Rada pre zahraničné záležitosti (FAC), ktorú vedie vysoký predstaviteľ pre SZBP."
EU101: Kto menuje vysokého predstaviteľa pre SZBP a na ako dlho?,Menuje ho Rada EÚ na 5 rokov kvalifikovanou väčšinou so súhlasom predsedu EK a schválením EP.
EU102: Aké dve funkcie spája vysoký predstaviteľ pre SZBP po Lisabonskej zmluve?,Je podpredsedom EK a zároveň predsedom Rady pre zahraničné záležitosti (FAC).
EU103: Kedy vznikla Európska služba pre vonkajšie aktivity (EEAS)?,EEAS vznikla 1. januára 2011 po Lisabonskej zmluve.
EU104: Kto má právo iniciatívy v SZBP?,"Iba členské štáty a vysoký predstaviteľ pre SZBP, nie EK ani EP."
EU105: Čo hovorí článok 31 ZEÚ o rozhodovaní v SZBP?,"V SZBP sa neprijímajú legislatívne akty – rozhoduje sa politicky, najčastejšie jednomyseľne."
EU106: Čo znamená konštruktívne zdržanie sa pri hlasovaní?,"Štát nie je viazaný rozhodnutím, ale nesmie konať proti nemu."
EU107: Kedy sa v SZBP uplatňuje kvalifikovaná väčšina?,Pri strategických záujmoch EÚ (čl. 22 ZEÚ) alebo na návrh vysokého predstaviteľa pre SZBP.
EU108: Akú úlohu zohráva EP v SZBP podľa čl. 36 ZEÚ?,"Nemá rozhodovaciu právomoc, ale VP SZBP ho informuje a konzultuje s ním."
EU109: Aké sú hlavné nástroje SZBP podľa čl. 25 ZEÚ?,"Pozície Únie, akcie, vykonávacie opatrenia a spolupráca medzi členskými štátmi."
EU110: Na čo slúži SBOP podľa čl. 42–46 ZEÚ?,"Na posilňovanie bezpečnosti, predchádzanie konfliktom, mierové misie a boj proti terorizmu."
EU111: Kto rozhoduje o vytvorení spoločnej obrannej politiky EÚ?,"Európska rada, a to jednomyseľne."
EU112: Čo znamená článok 42 ods. 7 ZEÚ o kolektívnej obrane?,"Ak je členský štát napadnutý, ostatné štáty mu musia pomôcť."
EU113: Aké misie realizuje EÚ v rámci SBOP?,"Vojenské (napr. EUFOR, EUTM) a civilné (napr. EULEX, EUMM) misie po celom svete."
EU114: Aká je úloha Európskej obrannej agentúry (EDA)?,Podporuje obranné kapacity členských štátov a koordinuje výskum a vývoj vojenských technológií.
EU115: Čo je PESCO a kto sa doň môže zapojiť?,Stála štruktúrovaná spolupráca členských štátov s vyššou vojenskou spôsobilosťou; zapojiť sa môže každý štát.
EU116: Aké sú rozhodovacie pravidlá v SBOP?,"Jednomyseľne pri misiách, kvalifikovaná väčšina pri EDA a PESCO."
EU117: Aké sú spoločné črty SZBP a SBOP?,"Sú súčasťou ZEÚ, rovnaké inštitúcie, politické rozhodovanie, väčšina rozhodnutí jednomyseľne, EP má len konzultačnú úlohu."
