PA19: Aké výzvy prináša replikovateľnosť v kvalitatívnom výskume?,kontingenčnosť výsledkov a subjektivita výskumníka.
PA20: Ako možno zvýšiť replikovateľnosť v kvalitatívnom výskume?,"dokumentáciou procesu, reflexivitou a kontrolou medzi výskumníkmi (intercoder reliability)."
PA21: Čo je kvalitatívny výskum?,"Súbor prístupov zameraných na porozumenie významom, skúsenostiam a kontextom ľudského správania."
PA22: Aké sú hlavné typy kvalitatívneho výskumu?,"Fenomenologický výskum, akčný výskum, zakotvená teória, historický výskum a komparatívny výskum."
PA23: Aký je cieľ fenomenologického výskumu?,Skúma subjektívne prežívanie a snaží sa odhaliť podstatu skúsenosti z pohľadu účastníka.
PA24: Ako výskumník pristupuje k dátam vo fenomenologickom výskume?,"Používa hlboké rozhovory, „pozastavuje“ predsudky (epoché) a interpretuje fenomén zvnútra."
PA25: Kde sa používa fenomenologický výskum?,"V psychológii, zdravotníctve a vzdelávaní."
PA26: Čo je cieľom akčného výskumu?,"Kombinuje výskum s praxou za účelom zlepšenia situácie cez cyklus plánovania, konania a reflexie."
PA27: Ako prebieha spolupráca v akčnom výskume?,Výskumník spolupracuje s účastníkmi ako s partnermi.
PA28: Kde sa najčastejšie uplatňuje akčný výskum?,"V školstve, komunitnom rozvoji a sociálnej práci."
PA29: Aký je cieľ zakotvenej teórie?,Vytvoriť teóriu zakotvenú v dátach získaných z terénneho výskumu.
PA30: Ako prebieha analýza dát v zakotvenej teórii?,Kódovanie prebieha súčasne so zberom dát a umožňuje induktívnu tvorbu teórie.
PA31: Kde sa využíva zakotvená teória?,"V sociológii, psychológii a organizačných štúdiách."
PA32: Aký je cieľ historického výskumu?,"Rekonštrukcia a interpretácia minulých udalostí, trendov a procesov."
PA33: Aké zdroje využíva historický výskum?,"Primárne a sekundárne dokumenty, archívy, svedecké výpovede."
PA34: V akých oblastiach sa používa historický výskum?,"Politológia, história, vzdelávacia politika."
PA35: Aký je cieľ komparatívneho výskumu?,Porovnanie prípadov za účelom identifikácie podobností a rozdielov.
PA36: Ako prebieha komparatívny výskum?,Hĺbková analýza malého počtu prípadov (small-N) so zohľadnením kontextu.
PA37: Kde sa využíva komparatívny výskum?,"V politológii, medzinárodných vzťahoch a sociológii."
PA38: Čo je cieľom etnografického výskumu?,"Porozumieť kultúre, každodennému životu a významom v konkrétnych sociálnych skupinách prostredníctvom dlhodobého a priameho kontaktu v teréne."
PA39: Ako výskumník získava poznatky v etnografii?,"Stáva sa súčasťou skúmanej skupiny ako pozorovateľ alebo účastník v ich prirodzenom prostredí, aby porozumel ich hodnotám a správaniu z ich perspektívy."
PA40: Aké sú základné typy pozorovania v etnografii?,"Úplne zúčastnené pozorovanie, zúčastnené pozorovanie, pozorovanie bez účasti, skryté pozorovanie a otvorené pozorovanie."
PA41: V čom spočíva rozdiel medzi úplne zúčastneným a zúčastneným pozorovaním?,"Pri úplne zúčastnenom sa výskumník plne začlení do skupiny, pri zúčastnenom interaguje, ale zachováva si určitý odstup."
PA42: Čo je reflexivita v etnografickom výskume a prečo je dôležitá?,"Reflexivita je vedomé skúmanie vlastného vplyvu na výskum, pomáha minimalizovať zaujatosť a zvyšuje vierohodnosť analýzy."
PA43: Aké typy údajov sa zapisujú do terénnych poznámok?,"Deskriptívne údaje, analytické postrehy a reflexívne poznámky."
PA44: Aké etické dilemy súvisia so skrytým pozorovaním?,"Účastníci nevedia, že sú súčasťou výskumu, čo je eticky citlivé a môže porušiť zásady informovaného súhlasu."
PA45: Čo je Hawthorn efekt v etnografii?,"Ide o situáciu, keď prítomnosť výskumníka ovplyvňuje správanie účastníkov, ktorí sa správajú inak, lebo vedia, že sú pozorovaní."
PA46: Ako môže kultúrna zaujatosť ovplyvniť etnografický výskum?,Výskumník môže interpretovať údaje cez vlastné kultúrne filtre a nevedome zdôrazňovať niektoré javy.
PA47: V čom spočíva hodnota etnografie pre výskum európskych štúdií?,"Umožňuje hlboko porozumieť fenoménom ako migrácia, menšiny, politická participácia či identita z perspektívy účastníkov."
